ue_id,traffic_class,scenario,num_ues,attach_success,attach_time_s,pdu_session_established,bearer_setup_latency_ms,active_drb_count,mean_dl_sinr_db,mean_ul_sinr_db,mean_rsrp_dbm,mean_dl_bler_pct,mean_dl_mcs,mean_ul_mcs,harq_retx_count,mean_cqi,dl_tput_mbps,ul_tput_mbps,dl_bytes,ul_bytes,packet_loss_pct,mean_jitter_ms,mean_e2e_delay_ms,target_dl_rate_mbps,target_ul_rate_mbps,bip_accuracy,bip_false_positive_rate,bip_missed_prediction_rate,macce_adaptation_latency_ms,data_source,simulation_label
26,Web,A,50,True,NA,NA,NA,NA,63.6197,NA,NA,0.0,27.830303030303032,NA,0,NA,0.13732266666666665,0.0,514960,0,0.0,0.16766951219512197,1.6546463414634147,0.133,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
27,Web,A,50,True,NA,NA,NA,NA,63.7071,NA,NA,0.0,27.830303030303032,NA,0,NA,0.13732266666666665,0.0,514960,0,0.0,0.16766951219512197,1.6903536585365853,0.133,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
28,Mobile,A,50,True,NA,NA,NA,NA,63.529,NA,NA,0.0,27.85473411154345,NA,0,NA,0.1693536,0.0,635076,0,0.0,0.1221335071707953,1.4409908735332464,0.166,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
29,Mobile,A,50,True,NA,NA,NA,NA,63.5418,NA,NA,0.0,27.85473411154345,NA,0,NA,0.1693536,0.0,635076,0,0.0,0.1285593220338983,1.4799217731421122,0.166,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
30,Mobile,A,50,True,NA,NA,NA,NA,63.9244,NA,NA,0.0,27.818652849740932,NA,0,NA,0.1693536,0.0,635076,0,0.0,0.12129543676662322,1.5119947848761408,0.166,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
31,Mobile,A,50,True,NA,NA,NA,NA,63.9243,NA,NA,0.0,27.818652849740932,NA,0,NA,0.1693536,0.0,635076,0,0.0,0.12129543676662322,1.5477053455019556,0.166,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
32,Mobile,A,50,True,NA,NA,NA,NA,64.1605,NA,NA,0.0,27.818652849740932,NA,0,NA,0.1693536,0.0,635076,0,0.0,0.12688305084745763,1.586219035202086,0.166,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
33,Mobile,A,50,True,NA,NA,NA,NA,63.6918,NA,NA,0.0,27.818652849740932,NA,0,NA,0.1693536,0.0,635076,0,0.0,0.12688305084745763,1.6219295958279007,0.166,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
34,Mobile,A,50,True,NA,NA,NA,NA,63.8082,NA,NA,0.0,27.818652849740932,NA,0,NA,0.1693536,0.0,635076,0,0.0,0.12688305084745763,1.6576531942633637,0.166,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
35,Mobile,A,50,True,NA,NA,NA,NA,63.6584,NA,NA,0.0,27.818652849740932,NA,0,NA,0.1693536,0.0,635076,0,0.0,0.12561069100391134,1.696297262059974,0.166,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
36,VoD,A,50,True,NA,NA,NA,NA,63.9177,NA,NA,0.0,27.92503346720214,NA,0,NA,0.731888,0.0,2744580,0,0.0,0.26988143176733775,1.4482013422818791,0.725,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
37,VoD,A,50,True,NA,NA,NA,NA,63.6973,NA,NA,0.0,27.92503346720214,NA,0,NA,0.731888,0.0,2744580,0,0.0,0.25657091722595077,1.4770604026845637,0.725,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
38,VoD,A,50,True,NA,NA,NA,NA,64.1699,NA,NA,0.0,27.92503346720214,NA,0,NA,0.731888,0.0,2744580,0,0.0,0.26796375838926173,1.5186711409395972,0.725,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
39,VoD,A,50,True,NA,NA,NA,NA,63.87369999999999,NA,NA,0.0,27.92503346720214,NA,0,NA,0.731888,0.0,2744580,0,0.0,0.2578008948545861,1.54834451901566,0.725,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
40,VoD,A,50,True,NA,NA,NA,NA,63.765699999999995,NA,NA,0.0,27.92503346720214,NA,0,NA,0.731888,0.0,2744580,0,0.0,0.25971812080536916,1.5852080536912752,0.725,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
41,VoD,A,50,True,NA,NA,NA,NA,63.9702,NA,NA,0.0,27.92503346720214,NA,0,NA,0.731888,0.0,2744580,0,0.0,0.25559552572706934,1.618572706935123,0.725,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
42,Live,A,50,True,NA,NA,NA,NA,63.7813,NA,NA,0.0,27.886409736308316,NA,0,NA,0.48235839999999996,0.0,1808844,0,0.0,0.15667617107942974,1.5067888662593345,0.478,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
43,Live,A,50,True,NA,NA,NA,NA,64.012,NA,NA,0.0,27.886409736308316,NA,0,NA,0.48235839999999996,0.0,1808844,0,0.0,0.15696673455532925,1.5426476578411406,0.478,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
44,Live,A,50,True,NA,NA,NA,NA,63.582800000000006,NA,NA,0.0,27.886409736308316,NA,0,NA,0.48235839999999996,0.0,1808844,0,0.0,0.15696673455532925,1.5783638832315003,0.478,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
45,Live,A,50,True,NA,NA,NA,NA,64.0222,NA,NA,0.0,27.886409736308316,NA,0,NA,0.48235839999999996,0.0,1808844,0,0.0,0.15740054310930074,1.6168160217243719,0.478,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
46,Live,A,50,True,NA,NA,NA,NA,63.8273,NA,NA,0.0,27.886409736308316,NA,0,NA,0.48235839999999996,0.0,1808844,0,0.0,0.15495112016293278,1.4720162932790224,0.478,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
47,Live,A,50,True,NA,NA,NA,NA,64.1906,NA,NA,0.0,27.886409736308316,NA,0,NA,0.48235839999999996,0.0,1808844,0,0.0,0.159377460964019,1.4412491513917176,0.478,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
48,V2X,A,50,True,NA,NA,NA,NA,63.4072,NA,NA,0.0,27.954135954135953,NA,0,NA,0.10670933333333334,0.0,400160,0,0.0,0.3222237704918033,1.5164262295081967,0.099,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
49,V2X,A,50,True,NA,NA,NA,NA,63.84479999999999,NA,NA,0.0,27.954135954135953,NA,0,NA,0.10670933333333334,0.0,400160,0,0.0,0.32216475409836065,1.4806475409836066,0.099,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
0,mMTC,A,100,True,NA,NA,NA,NA,63.4703,NA,NA,0.0,27.5,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.2554118181818182,2.371409090909091,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
1,mMTC,A,100,True,NA,NA,NA,NA,63.62669999999999,NA,NA,0.0,27.5,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.2554118181818182,2.4071181818181815,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
2,mMTC,A,100,True,NA,NA,NA,NA,64.1317,NA,NA,0.0,27.5,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.48138454545454545,1.8350454545454546,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
3,mMTC,A,100,True,NA,NA,NA,NA,63.7293,NA,NA,0.0,27.5,NA,0,NA,0.003754666666666667,0.0,14080,0,0.0,0.26352818181818183,1.5704363636363636,0.003,0.0,NA,NA,NA,NA,ns3_5glena_simulation,NOT real OAI CU-DU F1 measurements
