ue_count,kpi,rr,pf,diff,diff_pct
200,flowmon.mean_jitter_ms,0.3714484032753261,1.0734876089176792,0.7020392056423532,189.0004639815306
200,per_ue_tput_min_mbps,0.0037546666666666666,0.0037546666666666666,0.0,0.0
200,per_ue_tput_max_mbps,0.731888,0.731888,0.0,0.0
200,per_ue_tput_CoV,1.2131574096105826,1.2131574096105826,0.0,0.0
200,per_ue_tput_Jain_fairness,0.4045715123641797,0.4045715123641797,0.0,0.0
200,parser.avgUeSinrDb,63.8146145,63.8146145,0.0,0.0
200,parser.avgUeMcs,nan,nan,nan,nan
200,rxtrace.mean_dl_mcs,27.93961279095062,27.937702758132076,-0.0019100328185430726,-0.006836289510646742
200,rxtrace.mean_dl_sinr_db,63.8108073961279,63.81080696866495,-4.2746295036977244e-07,-6.698911482441316e-07
200,rxtrace.dl_bler_pct,0.0,0.0,0.0,nan
200,rxtrace.harq_retx,0.0,0.0,0.0,nan
200,parser.avgUeRlcDelayMs,1.35682555,1.3586389999999997,0.0018134499999997722,0.13365388055964691
200,parser.avgUePdcpDelayMs,2.5073314499999997,2.5105166500000005,0.0031852000000007763,0.12703545835556668
200,run.wallClockSeconds,884.727,865.621,-19.105999999999995,-2.159536218517124
